,SERIALNO,PUMA,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT
29,2012000005917,400,1045360,1056030,63,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,200.0,2.0,2.0,3.0,4.0,2000.0,,2.0,1500.0,2.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,300000.0,3.0,100.0,3.0,3.0,117000.0,4.0,,,1.0,1.0,117000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2108.0,3.0,0.0,1.0,40.0,1.0,7.0,7.0
30,2012000006044,104,1045360,1056030,13,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,40.0,2.0,2.0,40.0,1.0,700.0,,,,,3.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,200000.0,2.0,280.0,3.0,4.0,6000.0,4.0,,,1.0,1.0,6000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,101.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,578.0,,0.0,1.0,62.0,0.0,9.0,9.0
32,2012000006081,101,1045360,1056030,46,3,1,2.0,1.0,1.0,2.0,2.0,2.0,0.0,100.0,2.0,2000.0,3.0,4.0,800.0,,2.0,1300.0,2.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,300000.0,4.0,2.0,2.0,1.0,230690.0,2.0,,,1.0,1.0,230690.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1967.0,3.0,0.0,1.0,52.0,2.0,1.0,1.0
34,2012000006727,101,1045360,1056030,24,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,70.0,2.0,4000.0,3.0,4.0,900.0,,2.0,1300.0,2.0,1.0,1.0,9.0,,,1.0,9.0,1.0,240.0,1.0,1.0,1.0,1.0,,275000.0,2.0,270.0,6.0,1.0,160060.0,4.0,,,3.0,1.0,160060.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2499.0,2.0,0.0,1.0,62.0,2.0,2.0,1.0
38,2012000007700,300,1045360,1056030,19,3,1,1.0,,1.0,3.0,2.0,2.0,0.0,200.0,2.0,1700.0,3.0,4.0,1600.0,,2.0,1500.0,1.0,1.0,1.0,9.0,,,1.0,9.0,1.0,200.0,1.0,1.0,1.0,1.0,,600000.0,2.0,2.0,1.0,1.0,55000.0,2.0,,,3.0,1.0,55000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,47.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2175.0,4.0,0.0,1.0,63.0,2.0,5.0,1.0
41,2012000007875,104,1045360,1056030,12,3,1,1.0,,1.0,5.0,2.0,2.0,0.0,10.0,2.0,1000.0,3.0,4.0,900.0,,2.0,900.0,2.0,1.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,300000.0,2.0,150.0,1.0,5.0,91000.0,1.0,,,1.0,2.0,161000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1581.0,3.0,0.0,1.0,64.0,1.0,10.0,10.0
42,2012000007892,104,1045360,1056030,11,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,150.0,2.0,2.0,200.0,1.0,1200.0,,1.0,800.0,1.0,1.0,1.0,3.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,180000.0,1.0,300.0,5.0,7.0,56000.0,4.0,,,1.0,3.0,56000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1175.0,3.0,0.0,1.0,47.0,2.0,13.0,13.0
43,2012000007938,201,1045360,1056030,9,3,1,1.0,,1.0,2.0,2.0,2.0,0.0,140.0,2.0,2.0,180.0,1.0,540.0,,2.0,130.0,2.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,2.0,210.0,5.0,2.0,47800.0,2.0,,,1.0,1.0,47800.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,730.0,3.0,0.0,1.0,38.0,1.0,6.0,3.0
46,2012000008647,102,1045360,1056030,29,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,50.0,2.0,3400.0,3.0,4.0,970.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,225000.0,2.0,1100.0,3.0,2.0,54900.0,4.0,,,1.0,1.0,54900.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,706.0,,0.0,1.0,36.0,1.0,3.0,3.0
49,2012000009344,102,1045360,1056030,26,6,1,1.0,,1.0,4.0,2.0,2.0,0.0,100.0,2.0,2000.0,30.0,6.0,100.0,,1.0,1500.0,1.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,285000.0,5.0,240.0,2.0,1.0,128800.0,2.0,,,1.0,1.0,128800.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,0.0,1.0,1.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1817.0,3.0,0.0,1.0,35.0,3.0,5.0,1.0
52,2012000010605,101,1045360,1056030,19,4,1,1.0,,1.0,3.0,2.0,2.0,0.0,100.0,2.0,3000.0,30.0,4.0,870.0,,1.0,1500.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,160000.0,2.0,400.0,3.0,1.0,100800.0,1.0,,,1.0,1.0,100800.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,2.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1913.0,3.0,0.0,1.0,44.0,2.0,5.0,1.0
54,2012000011440,104,1045360,1056030,12,2,1,1.0,,1.0,3.0,2.0,2.0,,130.0,2.0,2.0,180.0,1.0,,,,,,,1.0,6.0,2.0,2400.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,2.0,1.0,6.0,2.0,200000.0,4.0,2710.0,16.0,1.0,1.0,200000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,1.0,6.0,3.0
56,2012000012317,400,1045360,1056030,21,4,1,1.0,,1.0,4.0,2.0,2.0,0.0,140.0,2.0,1800.0,3.0,4.0,900.0,,2.0,2300.0,2.0,1.0,1.0,9.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,500000.0,4.0,40.0,4.0,1.0,332000.0,2.0,,,1.0,1.0,332000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2993.0,3.0,0.0,1.0,51.0,3.0,2.0,1.0
58,2012000012503,300,1045360,1056030,13,2,1,1.0,,1.0,5.0,2.0,2.0,0.0,40.0,2.0,2600.0,3.0,4.0,1000.0,,1.0,1600.0,1.0,1.0,1.0,7.0,,,1.0,9.0,1.0,40.0,1.0,1.0,1.0,1.0,,360000.0,2.0,280.0,1.0,3.0,71700.0,4.0,,,1.0,1.0,71700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1920.0,2.0,0.0,1.0,59.0,1.0,6.0,7.0
61,2012000012990,101,1045360,1056030,68,2,1,1.0,,1.0,2.0,3.0,2.0,250.0,60.0,2.0,2.0,80.0,1.0,220.0,,,,,3.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,300000.0,3.0,1.0,10.0,1.0,84060.0,4.0,,,1.0,1.0,84060.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,808.0,,0.0,1.0,60.0,2.0,2.0,1.0
63,2012000013154,300,1045360,1056030,11,3,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,380.0,2.0,4000.0,3.0,4.0,2500.0,,2.0,1300.0,2.0,1.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,1200000.0,2.0,2.0,10.0,2.0,154700.0,4.0,,,1.0,1.0,154700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2521.0,3.0,0.0,1.0,48.0,2.0,3.0,3.0
64,2012000013255,104,1045360,1056030,16,5,1,1.0,,1.0,3.0,2.0,2.0,0.0,140.0,1.0,900.0,3.0,4.0,800.0,,1.0,1200.0,1.0,1.0,1.0,5.0,,,2.0,9.0,1.0,230.0,1.0,1.0,1.0,2.0,,160000.0,2.0,400.0,7.0,2.0,25500.0,1.0,,,3.0,1.0,25500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,0.0,0.0,3.0,79.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1678.0,1.0,0.0,1.0,46.0,1.0,7.0,3.0
65,2012000013376,104,1045360,1056030,9,2,1,1.0,,1.0,2.0,3.0,2.0,200.0,70.0,2.0,2.0,100.0,1.0,2000.0,,2.0,1600.0,1.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,215000.0,2.0,1.0,11.0,,,,,,1.0,5.0,100000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,,0.0,1.0,0.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2137.0,3.0,0.0,1.0,52.0,,,
70,2012000014430,201,1045360,1056030,9,3,1,2.0,1.0,1.0,4.0,2.0,2.0,0.0,100.0,2.0,3600.0,3.0,4.0,1500.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,450000.0,4.0,2.0,9.0,5.0,91000.0,2.0,,,1.0,2.0,91000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1108.0,,0.0,1.0,65.0,1.0,10.0,10.0
