,SERIALNO,PUMA,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT
5196,2012001438138,400,1045360,1056030,41,0,1,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,1.0,5.0,,,1.0,9.0,1.0,,1.0,,,1.0,3.0,700000.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,0.0,1.0,,,,
5197,2012001438202,101,1045360,1056030,19,2,1,1.0,,1.0,2.0,2.0,2.0,,70.0,2.0,2.0,3.0,3.0,,,,,,,1.0,4.0,2.0,800.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,5.0,40000.0,2.0,870.0,26.0,1.0,2.0,40000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,1.0,0.0,,1.0,10.0,10.0
5199,2012001438858,201,1045360,1056030,9,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,30.0,2.0,60.0,60.0,4.0,200.0,,,,,3.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,450000.0,2.0,1.0,1.0,,,,,,1.0,4.0,90000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,695.0,,0.0,1.0,65.0,,,
5200,2012001438883,101,1045360,1056030,13,1,1,1.0,,1.0,4.0,2.0,2.0,0.0,50.0,2.0,2.0,70.0,1.0,600.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,200000.0,1.0,300.0,3.0,,,,,,1.0,4.0,11090.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,362.0,,0.0,1.0,32.0,,,
5201,2012001438973,201,1045360,1056030,19,2,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,80.0,2.0,1600.0,80.0,1.0,0.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,176000.0,1.0,470.0,3.0,4.0,41600.0,4.0,,,1.0,1.0,41600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,557.0,,0.0,1.0,39.0,0.0,9.0,9.0
5202,2012001439417,102,1045360,1056030,13,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,50.0,2.0,2.0,100.0,1.0,500.0,,2.0,700.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,2.0,200.0,1.0,4.0,58500.0,4.0,,,1.0,1.0,58500.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1076.0,3.0,0.0,1.0,32.0,0.0,9.0,9.0
5203,2012001439628,201,1045360,1056030,12,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,20.0,2.0,650.0,40.0,4.0,0.0,,,,,3.0,1.0,3.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,250000.0,1.0,200.0,2.0,,,,,,1.0,4.0,14600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,381.0,,0.0,1.0,42.0,,,
5205,2012001440406,103,1045360,1056030,21,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,100.0,1.0,2.0,100.0,1.0,780.0,,1.0,970.0,1.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,179000.0,0.0,1000.0,4.0,8.0,23600.0,4.0,,,1.0,3.0,23600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1253.0,3.0,0.0,1.0,36.0,0.0,15.0,15.0
5206,2012001440468,400,1045360,1056030,8,1,1,2.0,1.0,1.0,2.0,2.0,2.0,0.0,80.0,2.0,2800.0,3.0,4.0,1300.0,,1.0,1500.0,1.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,250000.0,1.0,210.0,5.0,,,,,,1.0,6.0,71300.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1831.0,3.0,0.0,1.0,40.0,,,
5207,2012001440822,101,1045360,1056030,14,1,1,2.0,1.0,1.0,5.0,2.0,2.0,0.0,40.0,2.0,1200.0,3.0,4.0,480.0,,2.0,580.0,2.0,1.0,1.0,9.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,23800.0,1.0,2.0,5.0,,,,,,1.0,6.0,31200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,781.0,3.0,0.0,1.0,6.0,,,
5208,2012001440972,201,1045360,1056030,11,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,40.0,2.0,2.0,40.0,1.0,370.0,,,,,3.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,150000.0,2.0,50.0,6.0,4.0,20000.0,4.0,,,2.0,1.0,20000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,197.0,,0.0,1.0,21.0,0.0,9.0,9.0
5209,2012001441146,400,1045360,1056030,11,5,1,1.0,,1.0,3.0,2.0,2.0,,160.0,2.0,1200.0,3.0,4.0,,,,,,,1.0,6.0,2.0,1200.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,4.0,150.0,3.0,1.0,81300.0,1.0,1473.0,22.0,1.0,1.0,81300.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,2.0,,,1.0,0.0,,2.0,4.0,1.0
5210,2012001441300,400,1045360,1056030,24,2,1,1.0,,1.0,2.0,2.0,2.0,350.0,130.0,2.0,2.0,390.0,1.0,2200.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,700000.0,2.0,250.0,10.0,4.0,92020.0,4.0,,,1.0,1.0,92020.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1616.0,,0.0,1.0,64.0,0.0,9.0,9.0
5211,2012001441455,400,1045360,1056030,22,2,1,2.0,1.0,1.0,3.0,2.0,2.0,,250.0,2.0,4000.0,300.0,2.0,,,,,,,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,4.0,1.0,,,3.0,2.0,7.0,1.0,52000.0,4.0,,,1.0,1.0,52000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,2.0,4.0,1.0
5212,2012001442061,201,1045360,1056030,12,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,110.0,2.0,2.0,70.0,1.0,800.0,,1.0,1400.0,1.0,1.0,1.0,4.0,,,1.0,9.0,1.0,400.0,1.0,1.0,1.0,1.0,,250000.0,2.0,1200.0,2.0,2.0,117000.0,4.0,,,1.0,1.0,117000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2080.0,1.0,0.0,1.0,30.0,2.0,4.0,3.0
5213,2012001442944,104,1045360,1056030,12,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,100.0,2.0,2.0,100.0,2.0,200.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,250000.0,2.0,700.0,2.0,2.0,192000.0,4.0,,,4.0,1.0,192000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,775.0,,0.0,1.0,64.0,1.0,6.0,3.0
5218,2012001444157,102,1045360,1056030,12,4,1,1.0,,1.0,3.0,2.0,2.0,0.0,120.0,2.0,2600.0,3.0,4.0,800.0,,1.0,1700.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,180000.0,3.0,600.0,5.0,1.0,132000.0,2.0,,,1.0,1.0,132000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2087.0,3.0,0.0,1.0,52.0,3.0,1.0,1.0
5221,2012001445192,104,1045360,1056030,32,1,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,50.0,2.0,2.0,60.0,1.0,700.0,,1.0,1700.0,1.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,165000.0,1.0,700.0,4.0,,,,,,1.0,6.0,157010.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1868.0,3.0,0.0,1.0,52.0,,,
5223,2012001445525,104,1045360,1056030,15,5,1,1.0,,1.0,4.0,2.0,2.0,0.0,120.0,2.0,2.0,110.0,1.0,1000.0,,1.0,1700.0,1.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,300000.0,3.0,1200.0,2.0,1.0,157400.0,2.0,,,1.0,1.0,157400.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,5.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2030.0,3.0,0.0,1.0,62.0,2.0,4.0,1.0
5225,2012001445825,201,1045360,1056030,9,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,40.0,2.0,1900.0,3.0,4.0,460.0,,2.0,530.0,2.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,133000.0,1.0,260.0,3.0,,,,,,1.0,4.0,89750.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1038.0,3.0,0.0,1.0,42.0,,,
5226,2012001446723,300,1045360,1056030,34,0,1,1.0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,1.0,5.0,,,1.0,9.0,1.0,,1.0,,,1.0,5.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,0.0,0.0,,,,
5227,2012001447029,102,1045360,1056030,12,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,30.0,2.0,1200.0,40.0,4.0,800.0,,1.0,250.0,2.0,1.0,1.0,8.0,,,1.0,9.0,1.0,130.0,1.0,1.0,1.0,1.0,,92000.0,2.0,380.0,1.0,6.0,12700.0,4.0,,,1.0,2.0,12700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,865.0,2.0,0.0,1.0,46.0,0.0,12.0,12.0
5230,2012001448694,300,1045360,1056030,24,3,1,1.0,,1.0,1.0,2.0,2.0,0.0,150.0,2.0,2.0,3.0,4.0,1100.0,,2.0,1300.0,1.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,2.0,1.0,1.0,,290000.0,1.0,2.0,7.0,1.0,283500.0,2.0,,,1.0,1.0,283500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1542.0,3.0,0.0,1.0,33.0,2.0,1.0,1.0
5232,2012001450438,300,1045360,1056030,14,1,1,1.0,,1.0,4.0,2.0,2.0,0.0,130.0,2.0,2.0,200.0,1.0,2000.0,,2.0,2600.0,2.0,1.0,1.0,11.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,2466000.0,2.0,1200.0,8.0,,,,,,1.0,6.0,30100.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,101.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4889.0,3.0,0.0,1.0,68.0,,,
5233,2012001450459,101,1045360,1056030,9,2,1,1.0,,1.0,1.0,2.0,2.0,0.0,50.0,2.0,2.0,190.0,2.0,0.0,,1.0,770.0,1.0,1.0,1.0,3.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,118000.0,2.0,2.0,3.0,7.0,85400.0,4.0,,,1.0,3.0,85400.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1010.0,3.0,0.0,1.0,32.0,2.0,13.0,13.0
5235,2012001450955,201,1045360,1056030,19,3,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,200.0,2.0,3500.0,3.0,4.0,1200.0,,1.0,2200.0,1.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,268000.0,2.0,2.0,8.0,1.0,115000.0,1.0,,,1.0,1.0,115000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2692.0,3.0,0.0,1.0,66.0,2.0,1.0,1.0
5236,2012001451479,400,1045360,1056030,13,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,140.0,2.0,2.0,110.0,1.0,550.0,,2.0,320.0,2.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,225000.0,3.0,380.0,6.0,2.0,113000.0,4.0,,,1.0,1.0,113000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,956.0,3.0,0.0,1.0,48.0,1.0,6.0,3.0
5239,2012001452960,102,1045360,1056030,22,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,110.0,2.0,2.0,140.0,1.0,2100.0,,,,,3.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,410000.0,2.0,430.0,6.0,3.0,158300.0,4.0,,,1.0,1.0,158300.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,969.0,,0.0,1.0,64.0,1.0,8.0,7.0
5241,2012001453692,104,1045360,1056030,21,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,100.0,2.0,2.0,80.0,1.0,750.0,,2.0,710.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,140000.0,1.0,650.0,2.0,4.0,90000.0,4.0,,,1.0,1.0,90000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1290.0,3.0,0.0,1.0,46.0,0.0,9.0,9.0
5242,2012001453804,102,1045360,1056030,13,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,250.0,2.0,2.0,250.0,1.0,850.0,,1.0,1800.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,50.0,1.0,1.0,1.0,1.0,,100000.0,2.0,1000.0,3.0,1.0,92600.0,4.0,,,1.0,1.0,92600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2433.0,2.0,0.0,1.0,44.0,2.0,2.0,2.0
5247,2012001454481,400,1045360,1056030,16,0,1,2.0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,1.0,4.0,,,1.0,9.0,1.0,,1.0,,,1.0,5.0,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,0.0,0.0,,,,
5248,2012001454689,201,1045360,1056030,41,2,1,1.0,,1.0,4.0,2.0,2.0,,100.0,2.0,2.0,3.0,3.0,,,,,,,1.0,6.0,2.0,1500.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,2.0,1.0,1.0,5.0,90000.0,4.0,1600.0,21.0,1.0,2.0,90000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,,2.0,10.0,10.0
5251,2012001455974,101,1045360,1056030,16,2,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,90.0,2.0,2600.0,20.0,4.0,720.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,189000.0,2.0,2.0,6.0,1.0,92000.0,4.0,,,1.0,1.0,92000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,637.0,,0.0,1.0,42.0,2.0,1.0,1.0
5252,2012001456172,201,1045360,1056030,18,3,1,1.0,,1.0,2.0,2.0,2.0,,150.0,2.0,2.0,3.0,3.0,,,,,,,1.0,7.0,2.0,750.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,3.0,1.0,3.0,5.0,40000.0,4.0,900.0,17.0,1.0,2.0,65000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,,2.0,1.0,0.0,0.0,1.0,0.0,1.0,,,1.0,0.0,,2.0,10.0,10.0
5254,2012001456853,103,1045360,1056030,17,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,40.0,2.0,2100.0,110.0,1.0,0.0,,,,,3.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,150000.0,1.0,640.0,3.0,4.0,38800.0,4.0,,,1.0,1.0,38800.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,503.0,,0.0,1.0,27.0,0.0,9.0,9.0
5257,2012001457539,101,1045360,1056030,12,5,1,1.0,,1.0,3.0,2.0,2.0,0.0,170.0,2.0,2.0,40.0,1.0,1200.0,,1.0,1600.0,1.0,1.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,100000.0,5.0,300.0,6.0,1.0,136000.0,4.0,,,1.0,1.0,136000.0,0.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1835.0,3.0,0.0,1.0,36.0,3.0,2.0,1.0
5258,2012001457813,201,1045360,1056030,26,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,60.0,2.0,1200.0,3.0,4.0,500.0,,,,,3.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,85000.0,0.0,1100.0,3.0,,,,,,1.0,6.0,31500.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,461.0,,0.0,1.0,32.0,,,
5262,2012001458775,201,1045360,1056030,10,1,1,1.0,,1.0,3.0,2.0,2.0,0.0,100.0,2.0,1400.0,40.0,4.0,1200.0,,1.0,1000.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,1.0,500.0,3.0,,,,,,1.0,6.0,35000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1299.0,3.0,0.0,1.0,52.0,,,
5265,2012001459838,103,1045360,1056030,19,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,40.0,2.0,2.0,50.0,1.0,800.0,,2.0,20.0,2.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,100000.0,2.0,670.0,4.0,3.0,28710.0,4.0,,,1.0,1.0,28710.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,375.0,3.0,0.0,1.0,29.0,1.0,6.0,7.0
5268,2012001460266,102,1045360,1056030,13,1,1,1.0,,1.0,3.0,2.0,2.0,0.0,40.0,2.0,900.0,40.0,4.0,1200.0,,2.0,560.0,2.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,250000.0,2.0,240.0,4.0,,,,,,1.0,4.0,80200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1227.0,3.0,0.0,1.0,59.0,,,
5271,2012001460675,201,1045360,1056030,21,4,1,1.0,,1.0,3.0,2.0,2.0,0.0,100.0,2.0,1000.0,3.0,4.0,0.0,,1.0,1100.0,1.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,1.0,1100.0,4.0,3.0,52000.0,1.0,,,1.0,1.0,52000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1375.0,3.0,0.0,1.0,45.0,1.0,3.0,7.0
5273,2012001460735,102,1045360,1056030,28,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,120.0,2.0,2400.0,3.0,4.0,1300.0,,,,,3.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,350000.0,2.0,1200.0,3.0,1.0,54650.0,4.0,,,1.0,1.0,54650.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,870.0,,0.0,1.0,52.0,2.0,5.0,1.0
5274,2012001460886,201,1045360,1056030,23,3,1,1.0,,1.0,3.0,2.0,2.0,0.0,70.0,2.0,400.0,2.0,4.0,800.0,,1.0,1500.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,1.0,400.0,3.0,7.0,50000.0,2.0,,,1.0,3.0,50000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,39.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1636.0,3.0,0.0,1.0,42.0,1.0,13.0,13.0
5275,2012001461082,400,1045360,1056030,14,0,1,2.0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,1.0,8.0,,,1.0,9.0,1.0,,1.0,,,1.0,5.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,0.0,0.0,,,,
5276,2012001461296,300,1045360,1056030,11,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,90.0,2.0,2700.0,3.0,4.0,1000.0,,2.0,100.0,2.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,280000.0,2.0,500.0,3.0,1.0,128720.0,4.0,,,1.0,1.0,128720.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,965.0,3.0,0.0,1.0,62.0,2.0,2.0,1.0
5281,2012001463687,101,1045360,1056030,16,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,100.0,2.0,2600.0,80.0,4.0,750.0,,1.0,460.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,140000.0,2.0,700.0,1.0,3.0,91800.0,4.0,,,3.0,1.0,91800.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,915.0,3.0,0.0,1.0,36.0,1.0,8.0,7.0
5282,2012001464059,201,1045360,1056030,24,2,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,140.0,1.0,2100.0,3.0,3.0,610.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,200000.0,2.0,2.0,5.0,4.0,20800.0,4.0,,,1.0,1.0,20800.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,416.0,,0.0,1.0,14.0,0.0,9.0,9.0
5283,2012001464680,101,1045360,1056030,55,0,1,2.0,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,2.0,1.0,,,2.0,9.0,2.0,,2.0,,,2.0,7.0,,,,8.0,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,0.0,0.0,,,,
5285,2012001465902,104,1045360,1056030,19,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,70.0,2.0,800.0,3.0,4.0,3000.0,,2.0,2100.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,500000.0,2.0,2.0,5.0,4.0,62600.0,4.0,,,1.0,1.0,62600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3320.0,3.0,0.0,1.0,68.0,0.0,9.0,9.0
5286,2012001466078,103,1045360,1056030,19,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,100.0,2.0,2.0,40.0,1.0,1200.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,269000.0,2.0,350.0,1.0,3.0,45060.0,4.0,,,1.0,1.0,45060.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,711.0,,0.0,1.0,62.0,1.0,8.0,7.0
